"abbreviation";"name"
"HRO";"Hansestadt Rostock"
"HS";"Heinsberg"
"HSK";"Hochsauerlandkreis"
"HST";"Hansestadt Stralsund"
"HU";"Main-Kinzig-Kreis"
"HÜN";"Hünfeld"
"HUS";"Husum"
"HV";"Stendal"
"HVL";"Havelland"
"HW";"Halle"
"HWI";"Hansestadt Wismar"
"HX";"Höxter"
"HY";"Landkreis Bautzen"
"HZ";"Landkreis Harz"
"HZ";"Herzberg"
"IGB";"St. Ingbert"
"IK";"Ilm-Kreis"
"IL";"Ilm-Kreis"
"ILL";"Neu-Ulm"
"IN";"Ingolstadt"
"IS";"Iserlohn"
"IZ";"Steinburg"
"J";"Jena"
"JB";"Jüterbog"
"JE";"Wittenberg"
"JEV";"Friesland in Jever"
"JL";"Jerichower Land"
"JÜL";"Düren"
"K";"Köln"
"KA";"Karlsruhe (Stadt und Kreis)"
"KAR";"Main-Spessart in Karlstadt"
"KB";"Waldeck-Frankenberg"
"KC";"Kronach"
"KE";"Kempten"
"KEH";"Kelheim"
"KEL";"Kehl"
"KEM";"Tirschenreuth, Bayreuth"
"KF";"Kaufbeuren"
"KG";"Bad Kissingen"
"KH";"Bad Kreuznach"
"KI";"Kiel"
"KIB";"Donnersbergkreis"
"KK";"Kempen-Krefeld in Karlstadt"
"KL";"Kaiserslautern (Stadt und Kreis)"
"KLE";"Kleve"
"KLZ";"Altmarkkreis-Salzwedel"
"KM";"Landkreis Bautzen"
"KN";"Konstanz"
"KO";"Koblenz"
"KÖN";"Rhön-Grabfeld"
"KÖT";"Anhalt-Bitterfeld"
"KÖZ";"Cham"
"KR";"Krefeld"
"KRU";"Günzburg"
"KS";"Kassel (Stadt und Kreis)"
"KT";"Kitzingen"
"KU";"Kulmbach"
"KÜN";"Hohenlohekreis"
"KUS";"Kusel"
"KW";"Königs Wusterhausen"
"KY";"Ostprignitz-Ruppin"
"KYF";"Kyffhäuserkreis"
"L";"Leipzig (Stadt und Kreis)"
"L";"Lahn-Dill-Kreis in Wetzlar"
"LA";"Landshut (Stadt und Kreis)"
"LAN";"Landau an der Isar"
"LAT";"Vogelsbergkreis in Lauterbach Hessen"
"LAU";"Nürnberger Land"
"LB";"Ludwigsburg"
"LBS";"Saale-Orla-Kreis"
"LBZ";"Landkreis Ludwigslust-Parchim"
"LC";"Luckau"
"LDK";"Lahn-Dill-Kreis"
"LDS";"Dahme-Spreewald"
"LE";"Lemgo"
"LEO";"Böblingen"
"LER";"Leer"
"LEV";"Leverkusen"
"LF";"Laufen"
"LG";"Lüneburg"
"LH";"Lüdinghausen"
"LI";"Lindau"
"LIB";"Bad Liebenwerda"
"LIF";"Lichtenfels"
"LIN";"Lingen in Lingen (Ems)"
"LIP";"Lippe"
"LK";"Lübbecke"
"LL";"Landsberg am Lech"
"LM";"Limburg-Weilburg"
"LN";"Lübben"
"LÖ";"Lörrach"
"LÖB";"Landkreis Görlitz"
"LOH";"Lohr am Main"
"LOS";"Oder-Spree"
"LP";"Soest"
"LR";"Lahr Schwarzwald"
"LRO";"Landkreis Rostock"
"LS";"Märkischer Kreis in Lüdenscheid"
"LSZ";"Unstrut-Hainich-Kreis"
"LU";"Ludwigshafen"
"LÜD";"Lüdenscheid"
"LUK";"Luckenwalde"
"LÜN";"Unna"
"LUP";"Ludwigslust-Parchim"
"LWL";"Landkreis Ludwigslust-Parchim"
"M";"München (Stadt und Kreis)"
"MA";"Mannheim"
"MAB";"Erzgebirgskreis"
"MAI";"Kehlheim"
"MAK";"Wunsiedel i. Fichtelgebirge"
"MAL";"Mallersdorf"
"MAR";"Marktheidenfeld"
"MB";"Miesbach"
"MC";"Mecklenburgische Seenplatte"
"MD";"Magdeburg"
"ME";"Mettmann"
"MED";"Süderdithmarschen in Meldorf Holstein"
"MEG";"Melsungen"
"MEI";"Meißen"
"MEK";"Erzgebirgskreis"
"MEL";"Melle"
"MEP";"Meppen"
"MER";"Saalekreis"
"MES";"Hochsauerlandkreis in Meschede"
"MET";"Rhön-Grabfeld"
"MG";"Mönchengladbach"
"MGH";"Bad Mergentheim"
"MGN";"Schmalkalden-Meiningen"
"MH";"Mülheim an der Ruhr"
"MHL";"Unstrut-Hainich-Kreis"
"MI";"Minden-Lübbecke"
"MIL";"Miltenberg"
"MK";"Märkischer Kreis"
"MKK";"Main-Kinzig-Kreis"
"ML";"Mansfeld-Südharz"
"MM";"Memmingen"
"MN";"Unterallgäu"
"MO";"Wesel"
"MOD";"Ostallgäu"
"MOL";"Märkisch-Oderland"
"MON";"Region Aachen"
"MOS";"Neckar-Odenwald-Kreis"
"MQ";"Saalekreis"
"MR";"Marburg-Biedenkopf"
"MS";"Münster"
"MSE";"Mecklenburgische Seenplatte"
"MSH";"Mansfeld-Südharz"
"MSP";"Main-Spessart"
"MST";"Mecklenburgische Seenplatte"
"MT";"Westerwald in Motabaur"
"MTK";"Main-Taunus-Kreis"
"MTL";"Landkreis Leipzig"
"MÜ";"Mühldorf am Inn"
"MÜB";"Bayreuth"
"MÜL";"Müllheim Baden"
"MÜN";"Münsingen Württemberg"
"MÜR";"Mecklenburgische Seenplatte"
"MW";"Landkreis Mittelsachsen"
"MY";"Mayen-Koblenz"
"MYK";"Mayen-Koblenz"
"MZ";"Mainz"
"MZ";"Mainz-Bingen"
"MZG";"Merzig-Wadern"
"N";"Nürnberg, Nürnberger Land"
"NAB";"Amberg-Sulzbach, Schwandorf"
"NAI";"Naila"
"NAU";"Nauen"
"NB";"Neubrandenburg"
"ND";"Neuburg-Schrobenhausen"
"NDH";"Nordhausen"
"NE";"Rhein-Kreis Neuss"
"NEA";"Neustadt an der Aisch"
"NEB";"Burgenlandkreis"
"NEC";"Coburg"
"NEN";"Schwandorf"
"NES";"Rhön-Grabfeld"
"NEU";"Hochschwarzwald in Titisee-Neustadt im Hochschwarzwald"
"NEW";"Neustadt an der Waldnaab"
"NF";"Nordfriesland"
"NH";"Sonneberg"
"NI";"Nienburg/Weser"
"NIB";"Südtondern in Niebüll Schleswig"
"NK";"Neunkirchen"
"NM";"Neumarkt in der Oberpfalz"
"NMB";"Burgenlandkreis"
"NMS";"Neumünster"
"NÖ";"Donau-Ries"
"NOH";"Grafschaft Bentheim"
"NOL";"Landkreis Görlitz"
"NOM";"Northeim"
"NOR";"Aurich"
"NP";"Ostprignitz-Ruppin"
"NR";"Neuwied (Stadt und Kreis)"
"NRÜ";"Neustadt am Rübenberge"
"NT";"Nürtingen"
"NU";"Neu-Ulm"
"NVP";"Landkreis Vorpommern-Rügen"
"NW";"Neustadt an der Weinstraße"
"NWM";"Landkreis Nordwestmecklenburg"
"NY";"Landkreis Görlitz"
"NZ";"Mecklenburgische Seenplatte"
"OA";"Oberallgäu"
"OAL";"Ostallgäu"
"OB";"Oberhausen"
"OBB";"Obernburg am Main"
"OBG";"Stendal"
"OC";"Landkreis Börde"
"OCH";"Würzburg"
"OD";"Stormarn"
"OE";"Olpe"
"OF";"Offenbach (Stadt und Kreis)"
"OG";"Ortenaukreis"
"OH";"Ostholstein"
"OHA";"Osterode am Harz"
"ÖHR";"Öhringen"
"OHV";"Oberhavel"
"OHZ";"Osterholz"
"OK";"Landkreis Börde"
"OL";"Oldenburg (Stadt und Kreis)"
"OLD";"Oldenburg/Holstein"
"OP";"Rhein-Wupperkreis in Opladen"
"OPR";"Ostprignitz-Ruppin"
"OR";"Oranienburg"
"OS";"Osnabrück (Stadt und Kreis)"
"OSL";"Oberspreewald-Lausitz"
"OTT";"Land Hadeln in Otterndorf"
"OTW";"Ottweiler"
"OVI";"Schwandorf"
"OVL";"Vogtlandkreis"
"OVP";"Landkreis Vorpommern-Greifswald"
"OZ";"Landkreis Nordsachsen"
"P";"Potsdam"
"PA";"Passau (Stadt und Kreis)"
"PAF";"Pfaffenhofen"
"PAN";"Rottal-Inn"
"PAR";"Neumarkt i. d. Opf., Kehlheim"
"PB";"Paderborn"
"PCH";"Landkreis Ludwigslust-Parchim"
"PE";"Peine"
"PEG";"Bayreuth, Forchheim, Nürnberger Land"
"PER";"Perleberg"
"PF";"Pforzheim (Stadt und Kreis)"
"PI";"Pinneberg"
"PIR";"Sächsische Schweiz-Osterzgebirge"
"PK";"Pritzwalk"
"PL";"Vogtlandkreis"
"PLÖ";"Plön"
"PM";"Potsdam-Mittelmark"
"PN";"Saale-Orla-Kreis"
"PR";"Prignitz"
"PRÜ";"Bitburg-Prüm"
"PS";"Pirmasens (Stadt und Kreis)"
"PW";"Landkreis Vorpommern-Greifswald"
"PZ";"Prenzlau"
"QFT";"Saalekreis"
"QLB";"Landkreis Harz"
"R";"Regensburg (Stadt und Kreis)"
"RA";"Rastatt"
"RC";"Vogtlandkreis"
"RD";"Rendsburg-Eckernförde"
"RDG";"Landkreis Vorpommern-Rügen"
"RE";"Recklinghausen"
"REG";"Regen"
"REH";"Wunsiedel i. Fichtelgebirge"
"REI";"Berchtesgadener Land in Bad Reichenhall"
"RG";"Landkreis Meißen"
"RH";"Roth"
"RI";"Schaumburg"
"RID";"Kehlheim"
"RIE";"Landkreis Meißen"
"RL";"Landkreis Mittelsachsen"
"RM";"Mecklenburgische Seenplatte"
"RN";"Rathenow"
"RO";"Rosenheim (Stadt und Kreis)"
"ROD";"Cham, Schwandorf"
"ROF";"Hersfeld-Rotenburg"
"ROK";"Donnersbergkreis"
"ROL";"Kehlheim"
"ROS";"Landkreis Rostock"
"ROT";"Ansbach"
"ROW";"Rotenburg (Wümme)"
"RP";"Rhein-Pfalz-Kreis"
"RS";"Remscheid"
"RSL";"Dessau-Roßlau"
"RT";"Reutlingen"
"RU";"Saalfeld-Rudolstadt"
"RÜD";"Rheingau-Taunus Kreis"
"RÜG";"Landkreis Vorpommern-Rügen"
"RV";"Ravensburg"
"RW";"Rottweil"
"RY";"Rheydt"
"RZ";"Herzogtum Lauenburg"
"S";"Stuttgart"
"SAB";"Landkreis Trier-Saarburg"
"SAD";"Schwandorf"
"SÄK";"Säckingen"
"SAN";"Kulmbach, Kronach"
"SAW";"Altmarkkreis-Salzwedel"
"SB";"Saarbrücken"
"SBG";"Vorpommern-Greifswald"
"SBG";"Vorpommern-Greifswald"
"SBK";"Salzlandkreis"
"SC";"Schwabach"
"SCZ";"Saale-Orla-Kreis"
"SDH";"Kyffhäuserkreis"
"SDL";"Stendal"
"SDT";"Schwedt/Oder"
"SE";"Segeberg"
"SEB";"Märkisch Oderland"
"SEE";"Märkisch Oderland"
"SEF";"Neustadt a. d. Aisch-Bad Windsheim"
"SEL";"Wunsiedel i. Fichtelgebirge"
"SF";"Oberalgäu in Sonthofen"
"SFA";"Soltau-Fallingborstel"
"SFB";"Oberspreewald-Lausitz"
"SFT";"Salzlandkreis"
"SG";"Solingen"
"SGH";"Mansfeld-Südharz"
"SHA";"Schwäbisch Hall"
"SHG";"Schaumburg"
"SHK";"Saale-Holzland-Kreis"
"SHL";"Suhl"
"SI";"Siegen-Wittgenstein"
"SIG";"Sigmaringen"
"SIM";"Rhein-Hunsrück-Kreis"
"SK";"Saalekreis"
"SL";"Schleswig-Flensburg"
"SLE";"Euskirchen"
"SLF";"Saalfeld-Rudolstadt"
"SLG";"Saulgau Württemberg"
"SLK";"Salzlandkreis"
"SLN";"Altenburger Land"
"SLS";"Saarlouis"
"SLÜ";"Main-Kinzig-Kreis"
"SLZ";"Wartburgkreis"
"SM";"Schmalkalden-Meiningen"
"SMÜ";"Schwabmünchen"
"SN";"Schwerin, Stadt"
"SNH";"Sinsheim Elsenz"
"SO";"Soest"
"SOB";"Neuburg-Schrobenhausen"
"SOG";"Weilheim-Schongau"
"SOK";"Saale-Orla-Kreis"
"SOL";"Soltau"
"SÖM";"Sömmerda"
"SON";"Sonneberg"
"SP";"Speyer"
"SPB";"Spree-Neiße"
"SPN";"Spree-Neiße"
"SPR";"Springe"
"SR";"Straubing (Stadt und Kreis)"
"SRB";"Märkisch Oderland"
"SRO";"Saale-Holzland-Kreis"
"ST";"Steinfurt"
"STA";"Starnberg"
"STB";"Ludwigslust-Parchim"
"STB";"Landkreis Nordwestmecklenburg"
"STD";"Stade"
"STE";"Lichtenfels"
"STH";"Schaumburg-Lippe in Stadthagen"
"STL";"Erzgebirgskreis"
"STO";"Stockach Baden"
"SU";"Rhein-Sieg-Kreis"
"SUL";"Amberg-Sulzbach"
"SÜW";"Südliche Weinstraße"
"SW";"Schweinfurt (Stadt und Kreis)"
"SWA";"Rheingau-Taubus-Kreis in Bad Schwalbach"
"SY";"Grafschaft Hoya in Syke"
"SZ";"Salzgitter"
"SZB";"Erzgebirgskreis"
"TBB";"Main-Tauber-Kreis"
"TDO";"Landkreis Nordsachsen"
"TE";"Steinfurt"
"TET";"Landkreis Rostock"
"TF";"Teltow-Fläming"
"TG";"Landkreis Nordsachsen"
"TIR";"Tirschenreuth"
"TO";"Landkreis Nordsachsen"
"TÖL";"Bad Tölz-Wolfratshausen"
"TÖN";"Eiderstedt in Tönning Nordseebad"
"TP";"Templin"
"TR";"Trier"
"TS";"Traunstein"
"TT";"Tettnang Württemberg"
"TÜ";"Tübingen"
"TUT";"Tuttlingen"
"ÜB";"Überlingen Bodensee"
"UE";"Uelzen"
"UEM";"Landkreis Vorpommern-Greifswald"
"UER";"Landkreis Vorpommern-Greifswald"
"UFF";"Neustadt a. d. Aisch-Bad Windsheim"
"UH";"Unstrut-Hainich-Kreis"
"UL";"Ulm (Stadt und Kreis)"
"UM";"Uckermark"
"UN";"Unna"
"USI";"Hochtaunuskreis"
"V";"Vogtlandkreis"
"VAI";"Vaihingen Enz"
"VB";"Vogelsbergkreis"
"VEC";"Vechta"
"VER";"Verden"
"VG";"Landkreis Vorpommern-Greifswald"
"VIB";"Rottal-Inn"
"VIE";"Viersen"
"VIT";"Viechtach"
"VK";"Völklingen"
"VL";"Villingen Schwarzwald"
"VOF";"Vilshofen"
"VOH";"Neustadt a. d. Waldnaab"
"VR";"Landkreis Vorpommern-Rügen"
"VS";"Schwarzwald-Baar-Kreis"
"W";"Wuppertal"
"WA";"Waldeck in Korbach"
"WAF";"Warendorf"
"WAK";"Wartburgkreis"
"WAN";"Herne"
"WAR";"Warburg"
"WAT";"Bochum"
"WB";"Wittenberg"
"WBS";"Eichsfeld"
"WD";"Wiedenbrück"
"WDA";"Landkreis Zwickau"
"WE";"Weimar"
"WEB";"Oberwesterwaldkreis in Westerburg Westerwald"
"WEG";"Wegscheid"
"WEL";"Limburg-Weilburg"
"WEM";"Wesermünde in Bremerhaven"
"WEN";"Weiden in der Oberpfalz"
"WER";"Dillingen a. d. Donau"
"WES";"Wesel"
"WF";"Wolfenbüttel"
"WG";"Wangen Allgäu"
"WHV";"Wilhelmshaven"
"WI";"Wiesbaden"
"WIL";"Bernkastel-Wittlich"
"WIS";"Landkreis Nordwestmecklenburg"
"WIT";"Ennepe-Ruhr-Kreis"
"WIZ";"Witzenhausen"
"WK";"Ostprignitz-Ruppin"
"WL";"Harburg"
"WLG";"Landkreis Vorpommern-Greifswald"
"WM";"Weilheim-Schongau"
"WMS";"Landkreis Börde"
"WN";"Rems-Murr-Kreis"
"WND";"St. Wendel"
"WO";"Worms"
"WOB";"Wolfsburg"
"WOH";"Kassel (Kreis)"
"WOL";"Wolfach"
"WOR";"Bad Tölz-Wolfratshausen, Landkreis München, Starnberg"
"WOS";"Freyung-Grafenau"
"WR";"Landkreis Harz"
"WRN";"Mecklenburgische Seenplatte"
"WS";"Rosenheim"
"WSF";"Burgenlandkreis"
"WST";"Ammerland"
"WSW";"Landkreis Görlitz"
"WT";"Waldshut"
"WTL";"Wittlage"
"WTM";"Wittmund"
"WÜ";"Würzburg (Stadt und Kreis)"
"WUG";"Weißenburg-Gunzenhausen"
"WÜM";"Cham"
"WUN";"Wunsiedel"
"WUR";"Leipzig (Kreis)"
"WW";"Westerwaldkreis"
"WZ";"Lahn-Dill-Kreis"
"WZL";"Landkreis Börde"
"Z";"Landkreis Zwickau"
"ZE";"Anhalt-Bitterfeld"
"ZEL";"Cochem-Zell"
"ZI";"Landkreis Görlitz"
"ZIG";"Ziegenhain Bz. Kassel"
"ZP";"Erzgebirgskreis"
"ZR";"Greiz"
"ZS";"Zossen"
"ZW";"Zweibrücken"
"ZZ";"Burgenlandkreis"
